area,inmueble,latitud,longitud,url,valor_publicado,fecha_registro,comprado,valor_compra,financiado,renta,fecha_compra,cuota
54,Apartamento En Rionegro Sector Ojo De Agua- Altos De Santana,6.1554155,-75.3729608,https://apartamento.mercadolibre.com.co/MCO-1280428843-apartamento-en-rionegro-sector-ojo-de-agua-altos-de-santana-_JM#position=35&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,115000000,12/04/2023,False,0,0,0,01/01/2000,0
48,"Venta De Apartamento Sobre Planos,milla Fontibon, Río Negro",6.152749,-75.3903887,https://apartamento.mercadolibre.com.co/MCO-1271752873-venta-de-apartamento-sobre-planosmilla-fontibon-rio-negro-_JM#position=37&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,197000000,12/04/2023,False,0,0,0,01/01/2000,0
2000,Lote En Venta En Rionegro,6.12446,-75.422,https://lote-casalote.mercadolibre.com.co/MCO-1269173085-lote-en-venta-en-rionegro-_JM#position=41&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,1050000000,12/04/2023,False,0,0,0,01/01/2000,0
2200,"Lote En Venta En Rionegro, Sector Ojo De Agua",6.132033,-75.3670825,https://lote-casalote.mercadolibre.com.co/MCO-1295210350-lote-en-venta-en-rionegro-sector-ojo-de-agua-_JM#position=39&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,420000000,12/04/2023,False,0,0,0,01/01/2000,0
66,"A-917 Apartamento Nuevo (rionegro, Gualanday)",6.1350044,-75.383912,https://apartamento.mercadolibre.com.co/MCO-1312478210-a-917-apartamento-nuevo-rionegro-gualanday-_JM#position=36&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,435000000,12/04/2023,False,0,0,0,01/01/2000,0
76,Encantador Apartamento Duplex En Venta Rionegro,6.1490188,-75.3789523,https://apartamento.mercadolibre.com.co/MCO-924540110-encantador-apartamento-duplex-en-venta-rionegro-_JM#position=32&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,340000000,12/04/2023,False,0,0,0,01/01/2000,0
100,Apartamento En Rionegro,6.1485316,-75.3695044,https://apartamento.mercadolibre.com.co/MCO-1323503306-apartamento-en-rionegro-_JM#position=28&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,380000000,12/04/2023,False,0,0,0,01/01/2000,0
1968,"Vendo Lote En Rionegro, Antioquia En Parcelación El Herbal Vía Llanogrande - El Retiro",6.1029794,-75.465653,https://lote-casalote.mercadolibre.com.co/MCO-1275563023-vendo-lote-en-rionegro-antioquia-en-parcelacion-el-herbal-via-llanogrande-el-retiro-_JM#position=34&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,695000000,12/04/2023,False,0,0,0,01/01/2000,0
3350,"Lote En Venta En Rionegro, Sector Vereda Las Hojas",6.1482778,-75.3785062,https://lote-casalote.mercadolibre.com.co/MCO-1269197735-lote-en-venta-en-rionegro-sector-vereda-las-hojas-_JM#position=33&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,250000000,12/04/2023,False,0,0,0,01/01/2000,0
91,A-918 (aptos Nuevos Sector Sajonia Rionegro),6.1807402,-75.4415736,https://apartamento.mercadolibre.com.co/MCO-1312221826-a-918-aptos-nuevos-sector-sajonia-rionegro-_JM#position=30&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,1290000000,12/04/2023,False,0,0,0,01/01/2000,0
76.5,Local En El Mall Puerto Bulevar,6.1251234,-75.4232386,https://inmueble.mercadolibre.com.co/MCO-1282108417-local-en-el-mall-puerto-bulevar-_JM#position=25&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,750000000,12/04/2023,False,0,0,0,01/01/2000,0
3050,"L-294 Lote En Venta (rionegro, Via San Antonio- Laceja)",6.13009,-75.38011,https://lote-casalote.mercadolibre.com.co/MCO-1312629770-l-294-lote-en-venta-rionegro-via-san-antonio-laceja-_JM#position=27&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,690000000,12/04/2023,False,0,0,0,01/01/2000,0
1800,Vendo Hermosa Casa En Llanogrande,6.1214589,-75.4277788,https://casa.mercadolibre.com.co/MCO-1202931003-vendo-hermosa-casa-en-llanogrande-_JM#position=16&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,3900000000,12/04/2023,False,0,0,0,01/01/2000,0
64,Casa Unifamiliar Para La Venta En El Sector De Pradito  Rio Negro,6.1490188,-75.3789523,https://inmueble.mercadolibre.com.co/MCO-1320698848-casa-unifamiliar-para-la-venta-en-el-sector-de-pradito-rio-negro-_JM#position=20&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,225000000,12/04/2023,False,0,0,0,01/01/2000,0
2043,"Parcelacion Torremolinos, El Mejor Punto De Llanogrande (rionegro, Antioquia)",6.1408997,-75.4374048,https://lote-casalote.mercadolibre.com.co/MCO-1432772130-parcelacion-torremolinos-el-mejor-punto-de-llanogrande-rionegro-antioquia-_JM#position=17&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,1348000000,12/04/2023,False,0,0,0,01/01/2000,0
56,Apartamento En Fontibon $309 Millones,6.1554155,-75.3729608,https://apartamento.mercadolibre.com.co/MCO-1274270569-apartamento-en-fontibon-309-millones-_JM#position=26&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,309000000,12/04/2023,False,0,0,0,01/01/2000,0
10000,Finca En Rionegro,6.1490188,-75.3789523,https://inmueble.mercadolibre.com.co/MCO-1295780668-finca-en-rionegro-_JM#position=15&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,3300000000,12/04/2023,False,0,0,0,01/01/2000,0
87,Primer Piso Cerca Al Parque De San Antonio De Pereira Unidad Completa,6.1285433,-75.3821325,https://apartamento.mercadolibre.com.co/MCO-1281433807-primer-piso-cerca-al-parque-de-san-antonio-de-pereira-unidad-completa-_JM#position=22&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,429800000,12/04/2023,False,0,0,0,01/01/2000,0
5190,Venta Lote Parcelacion Llanogrande Hills,6.146804,-75.378554,https://lote-casalote.mercadolibre.com.co/MCO-1312475084-venta-lote-parcelacion-llanogrande-hills-_JM#position=23&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,724148000,12/04/2023,False,0,0,0,01/01/2000,0
2070,"Lote En Venta, Parcelación Sotobosque, Rionegro.",6.2176163,-75.4333997,https://lote-casalote.mercadolibre.com.co/MCO-1266656162-lote-en-venta-parcelacion-sotobosque-rionegro-_JM#position=21&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,520000000,12/04/2023,False,0,0,0,01/01/2000,0
